season,jornada,match_id,equipo local,equipo_visitante,tecnico_local,tecnico_visitante,ole_id_local,ole_id_visita,arbitro,estadio,fecha,goles_local,goles_visita,resultado
2020,1,2173070,Gimnasia La Plata,Patronato,Diego Maradona,Gustavo Álvarez,1392,8628,DIEGO ABAL,JUAN CARMELO ZERILLO (EL BOSQUE),2020-10-30 19:00:00,3,0,local
2020,1,2173045,Talleres de Córdoba,Newell's Old Boys,Alexander Medina,Frank Kudelka,1071,1095,DARÍO HERRERA,MARIO ALBERTO KEMPES,2020-10-30 21:15:00,3,1,local
2020,1,2173056,Aldosivi,Estudiantes de La Plata,Guillermo Hoyos,Leandro Desábato,8621,927,JORGE BALIÑO,JOSÉ MARÍA MINELLA,2020-10-31 14:00:00,0,0,empate
2020,1,2173069,Vélez Sarsfield,Huracán,Mauricio Pellegrino,Israel Damonte,570,2578,FACUNDO TELLO,JOSÉ AMALFITANI,2020-10-31 16:15:00,1,1,empate
2020,1,2173057,Argentinos Juniors,San Lorenzo,Diego Dabove,Mariano Soso,846,2549,PABLO ECHAVARRÍA,DIEGO ARMANDO MARADONA,2020-10-31 18:45:00,0,0,empate
2020,1,2173044,Lanús,Boca Juniors,Luis Zubeldía,Miguel Ángel Russo,2473,540,FERNANDO RAPALLINI,CIUDAD DE LANÚS,2020-10-31 21:15:00,1,2,visitante
2020,1,2173022,Defensa y Justicia,Colón Santa Fe,Hernan Crespo,Eduardo Domínguez,8625,1027,ARIEL PENEL,NORBERTO TOMAGHELLO,2020-11-01 11:00:00,0,3,visitante
2020,1,2173009,Unión Santa Fe,Arsenal de Sarandí,Juan Manuel Azconzábal,Sergio Rondina,6374,2577,SILVIO TRUCCO,15 DE ABRIL,2020-11-01 14:00:00,0,0,empate
2020,1,2173008,Racing Club,Atlético Tucumán,Sebastián Beccacece,Ricardo Zielinski,986,4671,NÉSTOR FABIÁN PITANA,PRESIDENTE PERÓN (CILINDRO DE AVELLANEDA),2020-11-01 16:15:00,1,4,visitante
2020,1,2173023,Central Córdoba (Santiago del Estero),Independiente,Alfredo Berti,Lucas Pusineri,10752,1243,PABLO DÓVALO,ALFREDO TERRERA,2020-11-01 18:45:00,0,1,visitante
2020,1,2173032,Rosario Central,Godoy Cruz,Cristian González,Diego Martínez,745,2834,HERNÁN MASTRÁNGELO,GIGANTE DE ARROYITO,2020-11-02 21:15:00,2,1,local
2020,1,2173033,River Plate,Banfield,Marcelo Gallardo,Javier Sanguinetti,608,2451,GERMÁN DELFINO,ESTADIO LIBERTADORES DE AMÉRICA,2020-11-03 21:00:00,1,3,visitante
2020,2,2173072,Patronato,Huracán,Gustavo Álvarez,Israel Damonte,8628,2578,NAZARENO ARASA,PRESBÍTERO BARTOLOMÉ GRELLA,2020-11-06 19:00:00,1,2,visitante
2020,2,2173059,Argentinos Juniors,Aldosivi,Diego Dabove,Guillermo Hoyos,846,8621,GERMÁN DELFINO,DIEGO ARMANDO MARADONA,2020-11-06 21:15:00,0,1,visitante
2020,2,2173035,Banfield,Godoy Cruz,Javier Sanguinetti,Diego Martínez,2451,2834,ARIEL PENEL,FLORENCIO SOLÁ,2020-11-07 16:00:00,1,0,local
2020,2,2173060,San Lorenzo,Estudiantes de La Plata,Mariano Soso,Leandro Desábato,2549,927,FERNANDO ESPINOZA,NUEVO GASÓMETRO,2020-11-07 18:30:00,2,0,local
2020,2,2173034,River Plate,Rosario Central,Marcelo Gallardo,Cristian González,608,745,FACUNDO TELLO,ESTADIO LIBERTADORES DE AMÉRICA,2020-11-07 21:15:00,2,1,local
2020,2,2173011,Arsenal de Sarandí,Atlético Tucumán,Sergio Rondina,Ricardo Zielinski,2577,4671,LEANDRO REY HILFER,JULIO HUMBERTO GRONDONA,2020-11-08 11:00:00,1,2,visitante
2020,2,2173071,Gimnasia La Plata,Vélez Sarsfield,Sebastián Méndez,Mauricio Pellegrino,1392,570,PATRICIO LOUSTAU,JUAN CARMELO ZERILLO (EL BOSQUE),2020-11-08 16:15:00,2,2,empate
2020,2,2173010,Unión Santa Fe,Racing Club,Juan Manuel Azconzábal,Sebastián Beccacece,6374,986,JORGE BALIÑO,15 DE ABRIL,2020-11-08 18:45:00,2,0,local
2020,2,2173047,Newell's Old Boys,Boca Juniors,Frank Kudelka,Miguel Ángel Russo,1095,540,MAURO VIGLIANO,MARCELO BIELSA,2020-11-08 21:15:00,0,2,visitante
2020,2,2173025,Independiente,Colón Santa Fe,Lucas Pusineri,Eduardo Domínguez,1243,1027,SILVIO TRUCCO,ESTADIO LIBERTADORES DE AMÉRICA,2020-11-09 17:00:00,1,1,empate
2020,2,2173046,Talleres de Córdoba,Lanús,Alexander Medina,Luis Zubeldía,1071,2473,YAEL FALCÓN PÉREZ,MARIO ALBERTO KEMPES,2020-11-09 19:15:00,1,1,empate
2020,2,2173024,Central Córdoba (Santiago del Estero),Defensa y Justicia,Alfredo Berti,Hernan Crespo,10752,8625,PABLO ECHAVARRÍA,ALFREDO TERRERA,2020-11-09 21:30:00,2,2,empate
2020,3,2173036,Rosario Central,Banfield,Cristian González,Javier Sanguinetti,745,2451,DIEGO ABAL,GIGANTE DE ARROYITO,2020-11-13 19:00:00,2,4,visitante
2020,3,2173013,Atlético Tucumán,Unión Santa Fe,Ricardo Zielinski,Juan Manuel Azconzábal,4671,6374,NAZARENO ARASA,MONUMENTAL PRESIDENTE JOSÉ FIERRO,2020-11-13 21:15:00,3,1,local
2020,3,2173061,Aldosivi,San Lorenzo,Guillermo Hoyos,Mariano Soso,8621,2549,LUCAS COMESAÑA,JOSÉ MARÍA MINELLA,2020-11-14 14:00:00,1,4,visitante
2020,3,2173048,Lanús,Newell's Old Boys,Luis Zubeldía,Frank Kudelka,2473,1095,PABLO DÓVALO,CIUDAD DE LANÚS,2020-11-14 16:15:00,2,4,visitante
2020,3,2173012,Racing Club,Arsenal de Sarandí,Sebastián Beccacece,Sergio Rondina,986,2577,PABLO ECHAVARRÍA,PRESIDENTE PERÓN (CILINDRO DE AVELLANEDA),2020-11-14 18:45:00,0,2,visitante
2020,3,2173037,Godoy Cruz,River Plate,Diego Martínez,Marcelo Gallardo,2834,608,DARÍO HERRERA,MALVINAS ARGENTINAS (MENDOZA),2020-11-14 21:15:00,0,1,visitante
2020,3,2173074,Huracán,Gimnasia La Plata,Israel Damonte,Sebastián Méndez,2578,1392,ARIEL PENEL,TOMÁS ADOLFO DUCÓ,2020-11-15 14:00:00,3,2,local
2020,3,2173062,Estudiantes de La Plata,Argentinos Juniors,Leandro Desábato,Diego Dabove,927,846,NÉSTOR FABIÁN PITANA,JORGE LUIS HIRSCHI,2020-11-15 16:15:00,0,1,visitante
2020,3,2173026,Defensa y Justicia,Independiente,Hernan Crespo,Lucas Pusineri,8625,1243,ANDRÉS MERLOS,NORBERTO TOMAGHELLO,2020-11-15 18:45:00,0,0,empate
2020,3,2173049,Boca Juniors,Talleres de Córdoba,Miguel Ángel Russo,Alexander Medina,540,1071,GERMÁN DELFINO,ALBERTO JOSÉ ARMANDO (LA BOMBONERA),2020-11-15 21:15:00,0,1,visitante
2020,3,2173073,Vélez Sarsfield,Patronato,Mauricio Pellegrino,Gustavo Álvarez,570,8628,HERNÁN MASTRÁNGELO,JOSÉ AMALFITANI,2020-11-16 19:00:00,1,0,local
2020,3,2173027,Colón Santa Fe,Central Córdoba (Santiago del Estero),Eduardo Domínguez,Alfredo Berti,1027,10752,JORGE BALIÑO,BRIGADIER GRAL. ESTANISLAO LÓPEZ,2020-11-16 21:15:00,2,0,local
2020,4,2173014,Atlético Tucumán,Racing Club,Ricardo Zielinski,Sebastián Beccacece,4671,986,DIEGO ABAL,MONUMENTAL PRESIDENTE JOSÉ FIERRO,2020-11-19 21:15:00,2,0,local
2020,4,2173015,Arsenal de Sarandí,Unión Santa Fe,Sergio Rondina,Juan Manuel Azconzábal,2577,6374,HERNÁN MASTRÁNGELO,JULIO HUMBERTO GRONDONA,2020-11-20 17:10:00,2,3,visitante
2020,4,2173050,Boca Juniors,Lanús,Miguel Ángel Russo,Luis Zubeldía,540,2473,FACUNDO TELLO,ALBERTO JOSÉ ARMANDO (LA BOMBONERA),2020-11-20 19:20:00,1,2,visitante
2020,4,2173039,Banfield,River Plate,Javier Sanguinetti,Marcelo Gallardo,2451,608,FERNANDO RAPALLINI,FLORENCIO SOLÁ,2020-11-20 21:30:00,0,2,visitante
2020,4,2173028,Colón Santa Fe,Defensa y Justicia,Eduardo Domínguez,Hernan Crespo,1027,8625,DARÍO HERRERA,BRIGADIER GRAL. ESTANISLAO LÓPEZ,2020-11-21 17:10:00,2,0,local
2020,4,2173075,Huracán,Vélez Sarsfield,Israel Damonte,Mauricio Pellegrino,2578,570,NICOLÁS LAMOLINA,TOMÁS ADOLFO DUCÓ,2020-11-21 19:20:00,1,2,visitante
2020,4,2173029,Independiente,Central Córdoba (Santiago del Estero),Lucas Pusineri,Alfredo Berti,1243,10752,ARIEL PENEL,ESTADIO LIBERTADORES DE AMÉRICA,2020-11-21 21:30:00,0,0,empate
2020,4,2173063,Estudiantes de La Plata,Aldosivi,Leandro Desábato,Guillermo Hoyos,927,8621,FERNANDO ECHENIQUE,JORGE LUIS HIRSCHI,2020-11-22 17:10:00,0,1,visitante
2020,4,2173076,Patronato,Gimnasia La Plata,Gustavo Álvarez,Sebastián Méndez,8628,1392,PABLO ECHAVARRÍA,PRESBÍTERO BARTOLOMÉ GRELLA,2020-11-22 19:20:00,0,0,empate
2020,4,2173064,San Lorenzo,Argentinos Juniors,Mariano Soso,Diego Dabove,2549,846,ANDRÉS MERLOS,NUEVO GASÓMETRO,2020-11-22 21:30:00,2,0,local
2020,4,2173038,Godoy Cruz,Rosario Central,Diego Martínez,Cristian González,2834,745,NÉSTOR FABIÁN PITANA,MALVINAS ARGENTINAS (MENDOZA),2020-11-23 19:00:00,0,1,visitante
2020,4,2173051,Newell's Old Boys,Talleres de Córdoba,Frank Kudelka,Alexander Medina,1095,1071,SILVIO TRUCCO,MARCELO BIELSA,2020-11-23 21:15:00,1,1,empate
2020,5,2173016,Racing Club,Unión Santa Fe,Sebastián Beccacece,Juan Manuel Azconzábal,986,6374,ANDRÉS MERLOS,PRESIDENTE PERÓN (CILINDRO DE AVELLANEDA),2020-11-28 17:10:00,1,0,local
2020,5,2173031,Colón Santa Fe,Independiente,Eduardo Domínguez,Lucas Pusineri,1027,1243,MAURO VIGLIANO,BRIGADIER GRAL. ESTANISLAO LÓPEZ,2020-11-28 19:20:00,1,2,visitante
2020,5,2173077,Vélez Sarsfield,Gimnasia La Plata,Mauricio Pellegrino,Leandro Martini,570,1392,NÉSTOR FABIÁN PITANA,JOSÉ AMALFITANI,2020-11-28 19:20:00,0,1,visitante
2020,5,2173041,Godoy Cruz,Banfield,Diego Martínez,Javier Sanguinetti,2834,2451,LUCAS COMESAÑA,MALVINAS ARGENTINAS (MENDOZA),2020-11-28 21:30:00,0,0,empate
2020,5,2173040,Rosario Central,River Plate,Cristian González,Marcelo Gallardo,745,608,FERNANDO ECHENIQUE,GIGANTE DE ARROYITO,2020-11-28 21:30:00,0,2,visitante
2020,5,2173030,Defensa y Justicia,Central Córdoba (Santiago del Estero),Hernan Crespo,Alfredo Berti,8625,10752,PATRICIO LOUSTAU,NORBERTO TOMAGHELLO,2020-11-29 17:10:00,2,3,visitante
2020,5,2173053,Boca Juniors,Newell's Old Boys,Miguel Ángel Russo,Frank Kudelka,540,1095,FERNANDO ESPINOZA,ALBERTO JOSÉ ARMANDO (LA BOMBONERA),2020-11-29 19:20:00,2,0,local
2020,5,2173078,Huracán,Patronato,Israel Damonte,Gustavo Álvarez,2578,8628,GERMÁN DELFINO,TOMÁS ADOLFO DUCÓ,2020-11-29 21:30:00,1,0,local
2020,5,2173052,Lanús,Talleres de Córdoba,Luis Zubeldía,Alexander Medina,2473,1071,DARÍO HERRERA,CIUDAD DE LANÚS,2020-11-29 21:30:00,1,0,local
2020,5,2173065,Aldosivi,Argentinos Juniors,Guillermo Hoyos,Diego Dabove,8621,846,FERNANDO RAPALLINI,JOSÉ MARÍA MINELLA,2020-11-30 17:10:00,1,4,visitante
2020,5,2173017,Atlético Tucumán,Arsenal de Sarandí,Ricardo Zielinski,Sergio Rondina,4671,2577,JORGE BALIÑO,MONUMENTAL PRESIDENTE JOSÉ FIERRO,2020-11-30 19:20:00,3,2,local
2020,5,2173066,Estudiantes de La Plata,San Lorenzo,Leandro Desábato,Mariano Soso,927,2549,NICOLÁS LAMOLINA,JORGE LUIS HIRSCHI,2020-11-30 21:30:00,0,0,empate
2020,6,2173021,Central Córdoba (Santiago del Estero),Colón Santa Fe,Alfredo Berti,Eduardo Domínguez,10752,1027,SILVIO TRUCCO,ALFREDO TERRERA,2020-12-04 19:20:00,0,2,visitante
2020,6,2173042,Banfield,Rosario Central,Javier Sanguinetti,Cristian González,2451,745,ANDRÉS MERLOS,FLORENCIO SOLÁ,2020-12-04 21:30:00,1,1,empate
2020,6,2173018,Arsenal de Sarandí,Racing Club,Sergio Rondina,Sebastián Beccacece,2577,986,MAURO VIGLIANO,JULIO HUMBERTO GRONDONA,2020-12-05 17:10:00,1,0,local
2020,6,2173019,Unión Santa Fe,Atlético Tucumán,Juan Manuel Azconzábal,Ricardo Zielinski,6374,4671,FERNANDO ESPINOZA,15 DE ABRIL,2020-12-05 17:10:00,3,5,visitante
2020,6,2173080,Gimnasia La Plata,Huracán,Leandro Martini,Israel Damonte,1392,2578,FERNANDO ECHENIQUE,JUAN CARMELO ZERILLO (EL BOSQUE),2020-12-05 19:20:00,0,0,empate
2020,6,2173079,Patronato,Vélez Sarsfield,Gustavo Álvarez,Mauricio Pellegrino,8628,570,DARÍO HERRERA,PRESBÍTERO BARTOLOMÉ GRELLA,2020-12-05 19:20:00,0,0,empate
2020,6,2173043,River Plate,Godoy Cruz,Marcelo Gallardo,Diego Martínez,608,2834,PABLO ECHAVARRÍA,ESTADIO LIBERTADORES DE AMÉRICA,2020-12-05 21:30:00,3,1,local
2020,6,2173020,Independiente,Defensa y Justicia,Lucas Pusineri,Hernan Crespo,1243,8625,HERNÁN MASTRÁNGELO,ESTADIO LIBERTADORES DE AMÉRICA,2020-12-06 19:10:00,1,0,local
2020,6,2173054,Newell's Old Boys,Lanús,Frank Kudelka,Luis Zubeldía,1095,2473,ARIEL PENEL,MARCELO BIELSA,2020-12-06 21:30:00,3,1,local
2020,6,2173055,Talleres de Córdoba,Boca Juniors,Alexander Medina,Miguel Ángel Russo,1071,540,FERNANDO RAPALLINI,MARIO ALBERTO KEMPES,2020-12-06 21:30:00,0,0,empate
2020,6,2173068,Argentinos Juniors,Estudiantes de La Plata,Diego Dabove,Leandro Desábato,846,927,PATRICIO LOUSTAU,DIEGO ARMANDO MARADONA,2020-12-07 19:10:00,1,0,local
2020,6,2173067,San Lorenzo,Aldosivi,Mariano Soso,Guillermo Hoyos,2549,8621,NÉSTOR FABIÁN PITANA,NUEVO GASÓMETRO,2020-12-07 19:10:00,0,0,empate
2020,7,2179781,Vélez Sarsfield,Racing Club,Mauricio Pellegrino,Sebastián Beccacece,570,986,PATRICIO LOUSTAU,JOSÉ AMALFITANI,2020-12-11 21:10:00,2,1,local
2020,7,2179775,Colón Santa Fe,Gimnasia La Plata,Eduardo Domínguez,Leandro Martini,1027,1392,GERMÁN DELFINO,BRIGADIER GRAL. ESTANISLAO LÓPEZ,2020-12-12 17:10:00,0,2,visitante
2020,7,2179782,Newell's Old Boys,Estudiantes de La Plata,Frank Kudelka,Leandro Desábato,1095,927,NÉSTOR FABIÁN PITANA,MARCELO BIELSA,2020-12-12 17:10:00,1,0,local
2020,7,2179749,Boca Juniors,Arsenal de Sarandí,Miguel Ángel Russo,Sergio Rondina,540,2577,DARÍO HERRERA,ALBERTO JOSÉ ARMANDO (LA BOMBONERA),2020-12-12 19:20:00,1,1,empate
2020,7,2179777,San Lorenzo,Talleres de Córdoba,Mariano Soso,Alexander Medina,2549,1071,FERNANDO ESPINOZA,NUEVO GASÓMETRO,2020-12-12 21:30:00,0,2,visitante
2020,7,2179779,Aldosivi,Lanús,Guillermo Hoyos,,8621,2473,ANDRÉS MERLOS,JOSÉ MARÍA MINELLA,2020-12-13 17:10:00,1,2,visitante
2020,7,2179778,Unión Santa Fe,Defensa y Justicia,Juan Manuel Azconzábal,Hernan Crespo,6374,8625,NAZARENO ARASA,15 DE ABRIL,2020-12-13 17:10:00,1,3,visitante
2020,7,2179748,River Plate,Argentinos Juniors,Marcelo Gallardo,Diego Dabove,608,846,MAURO VIGLIANO,ESTADIO LIBERTADORES DE AMÉRICA,2020-12-13 19:20:00,1,1,empate
2020,7,2179750,Huracán,Independiente,Israel Damonte,Lucas Pusineri,2578,1243,NICOLÁS LAMOLINA,TOMÁS ADOLFO DUCÓ,2020-12-13 21:30:00,3,2,local
2020,7,2179780,Rosario Central,Patronato,Cristian González,Gustavo Álvarez,745,8628,ARIEL PENEL,GIGANTE DE ARROYITO,2020-12-14 17:10:00,4,0,local
2020,7,2179783,Central Córdoba (Santiago del Estero),Godoy Cruz,Alexis Ferrero,Diego Martínez,10752,2834,JORGE BALIÑO,ALFREDO TERRERA,2020-12-14 19:20:00,1,1,empate
2020,7,2179776,Atlético Tucumán,Banfield,Ricardo Zielinski,Javier Sanguinetti,4671,2451,FERNANDO RAPALLINI,MONUMENTAL PRESIDENTE JOSÉ FIERRO,2020-12-14 21:30:00,0,2,visitante
2020,8,2179753,Arsenal de Sarandí,Argentinos Juniors,Sergio Rondina,Diego Dabove,2577,846,HERNÁN MASTRÁNGELO,JULIO HUMBERTO GRONDONA,2020-12-18 21:10:00,0,1,visitante
2020,8,2179788,Patronato,Aldosivi,Gabriel Graciani,Guillermo Hoyos,8628,8621,ANDRÉS CARLOS GARIANO,PRESBÍTERO BARTOLOMÉ GRELLA,2020-12-19 17:10:00,0,1,visitante
2020,8,2179785,Godoy Cruz,Newell's Old Boys,Diego Martínez,Frank Kudelka,2834,1095,PATRICIO LOUSTAU,MALVINAS ARGENTINAS (MENDOZA),2020-12-19 19:10:00,0,3,visitante
2020,8,2179772,San Lorenzo,Colón Santa Fe,Mariano Soso,Eduardo Domínguez,2549,1027,ANDRÉS MERLOS,NUEVO GASÓMETRO,2020-12-19 19:20:00,2,2,empate
2020,8,2179773,Talleres de Córdoba,Atlético Tucumán,Alexander Medina,Ricardo Zielinski,1071,4671,NICOLÁS LAMOLINA,MARIO ALBERTO KEMPES,2020-12-19 21:30:00,1,1,empate
2020,8,2179789,Lanús,Defensa y Justicia,Luis Zubeldía,Hernan Crespo,2473,8625,FERNANDO ESPINOZA,CIUDAD DE LANÚS,2020-12-20 17:10:00,1,1,empate
2020,8,2179786,Estudiantes de La Plata,Racing Club,Leandro Desábato,Sebastián Beccacece,927,986,FERNANDO ECHENIQUE,CIUDAD DE LA PLATA,2020-12-20 19:20:00,1,1,empate
2020,8,2179752,Independiente,Boca Juniors,Lucas Pusineri,Miguel Ángel Russo,1243,540,MAURO VIGLIANO,ESTADIO LIBERTADORES DE AMÉRICA,2020-12-20 19:20:00,1,2,visitante
2020,8,2179751,Huracán,River Plate,Israel Damonte,Marcelo Gallardo,2578,608,GERMÁN DELFINO,TOMÁS ADOLFO DUCÓ,2020-12-20 21:30:00,1,3,visitante
2020,8,2179784,Central Córdoba (Santiago del Estero),Vélez Sarsfield,Alexis Ferrero,Mauricio Pellegrino,10752,570,NÉSTOR FABIÁN PITANA,ALFREDO TERRERA,2020-12-21 19:20:00,0,2,visitante
2020,8,2179787,Rosario Central,Unión Santa Fe,Cristian González,Juan Manuel Azconzábal,745,6374,PABLO ECHAVARRÍA,GIGANTE DE ARROYITO,2020-12-21 19:20:00,2,2,empate
2020,8,2179774,Banfield,Gimnasia La Plata,Javier Sanguinetti,Leandro Martini,2451,1392,DARÍO HERRERA,FLORENCIO SOLÁ,2020-12-21 21:30:00,2,1,local
2020,10,2179800,Rosario Central,Defensa y Justicia,Cristian González,Hernan Crespo,745,8625,FERNANDO ECHENIQUE,GIGANTE DE ARROYITO,2021-01-02 17:30:00,3,0,local
2020,10,2179757,Boca Juniors,River Plate,Miguel Ángel Russo,Marcelo Gallardo,540,608,FERNANDO RAPALLINI,ALBERTO JOSÉ ARMANDO (LA BOMBONERA),2021-01-02 21:30:00,2,2,empate
2020,10,2179759,Independiente,Arsenal de Sarandí,Lucas Pusineri,Sergio Rondina,1243,2577,NÉSTOR FABIÁN PITANA,ESTADIO LIBERTADORES DE AMÉRICA,2021-01-03 17:10:00,3,4,visitante
